# GLP-1 Watchdog Open Provider Dataset — CC BY 4.0 (attribution: glp1watchdog.com) — docs: https://glp1watchdog.com/data
rank,name,slug,type,rating_out_of_10,rating_label,price_from,semaglutide_usd_month,tirzepatide_usd_month,program_fee_usd_month,medications,fda_approved,insurance_accepted,oral_option,ships_all_50_states,states_covered,consultation_fee,free_shipping,cancel_anytime,best_for,review_url
26,Sesame Care,sesame-care,brand,7.2,Good,$208,,,,Wegovy; Wegovy HD; Wegovy (oral); Zepbound; Zepbound KwikPen; Foundayo,true,true,true,true,50,$59/mo care subscription (12-month commitment),false,true,"People who specifically want brand-name FDA-approved GLP-1s and will commit to a year of care — not the cheapest route, and no compounded option",https://glp1watchdog.com/reviews/sesame-care
27,Willow,willow,both,6.9,Fair,$160,,,,Semaglutide; Tirzepatide,true,false,false,true,50,Free,true,true,Users who want a balance of quality care and reasonable pricing,https://glp1watchdog.com/reviews/willow
28,Hers,hers,brand,6.9,Fair,$149,,,,Wegovy (injectable); Wegovy (oral); Zepbound; Ozempic; Foundayo (oral orforglipron),true,false,true,false,45,$0,true,true,"women who want brand-name Wegovy, Zepbound or Foundayo through a polished app and accept membership plus retail medication cost",https://glp1watchdog.com/reviews/hers
29,Fridays,fridays,both,6.8,Fair,$249,,,,Compounded Semaglutide; Compounded Tirzepatide; Brand-name GLP-1s (with insurance),true,true,false,false,49,Included,true,true,"Users who want a holistic program with coaching, nutrition support, and flexible pricing",https://glp1watchdog.com/reviews/fridays
30,Ro,ro,brand,6.7,Fair,$74,,,,Wegovy; Zepbound; Ozempic,true,true,true,true,50,Included in membership,true,true,Users with insurance who want brand-name medications from a trusted platform,https://glp1watchdog.com/reviews/ro
31,Hims,hims,brand,6.7,Fair,$149,,,,Wegovy (injectable); Wegovy (oral); Zepbound; Ozempic; Foundayo (oral orforglipron),true,false,true,false,45,$0,true,true,"people who want brand-name GLP-1s, including oral options, through a mainstream telehealth brand",https://glp1watchdog.com/reviews/hims
32,Ivim Health,ivim-health,both,6.5,Fair,$75,75,149,74.99,Compounded Semaglutide; Compounded Tirzepatide; Ozempic; Wegovy; Zepbound; Mounjaro; Saxenda,true,false,false,true,50,Included in program fee,true,true,Users who want personalized dosing with frequent provider check-ins,https://glp1watchdog.com/reviews/ivim-health
33,Hone Health,hone-health,compounded,6.3,Fair,$160,,,,Compounded Liraglutide; Compounded Tirzepatide,false,false,false,false,44,$65 initial lab kit,true,true,Users who want a full-service health platform covering weight loss plus hormones and labs,https://glp1watchdog.com/reviews/hone-health
34,JRNYS,jrnys,brand,6.2,Fair,$365,,,,Semaglutide; Tirzepatide,true,false,false,true,50,Included,true,true,Users willing to pay premium for comprehensive prescription programs,https://glp1watchdog.com/reviews/jrnys
35,AgelessRx,agelessrx,both,6.1,Fair,$139,139,249,,Compounded Semaglutide; Compounded Tirzepatide; Compounded Liraglutide; Oral GLP-1 Drops; Wegovy; Zepbound,true,false,true,true,50,Free,true,true,Longevity-minded users who want GLP-1 alongside anti-aging treatments,https://glp1watchdog.com/reviews/agelessrx
36,Fella Health,fella-health,compounded,6,Fair,$165,165,,,Compounded Semaglutide; Compounded Tirzepatide,false,false,false,false,35,Included,true,true,Men who want a men-focused weight loss program with a money-back guarantee,https://glp1watchdog.com/reviews/fella-health
37,Maximus,maximus,compounded,5.9,Below Average,$99,,,,Compounded Semaglutide; Compounded Semaglutide (Microdose),false,false,false,true,50,$28-35 per visit,true,true,Men who want GLP-1 alongside testosterone or other men's health protocols,https://glp1watchdog.com/reviews/maximus
38,Elevate Health,elevate-health,compounded,5.8,Below Average,$114,,,,Compounded Semaglutide (Oral); Compounded Semaglutide (Injectable); Compounded Tirzepatide,false,false,true,true,50,Free,true,true,Users who want financing options and free lab work with their GLP-1 program,https://glp1watchdog.com/reviews/elevate-health
39,DudeMeds,dudemeds,compounded,5.7,Below Average,$149,149,233,,Compounded Semaglutide (Oral); Compounded Semaglutide (Injectable); Compounded Tirzepatide,false,false,true,false,46,Free,true,true,Men who want GLP-1 weight loss from a men's health-focused platform,https://glp1watchdog.com/reviews/dudemeds
40,SynergyRx,synergyrx,both,5.6,Below Average,$200,200,299,,Compounded Semaglutide; Compounded Tirzepatide; Ozempic; Wegovy; Mounjaro,true,false,false,false,45,Included,true,true,Users who want predictable bundled pricing with 24/7 support access,https://glp1watchdog.com/reviews/synergyrx
41,PeterMD,peter-md,compounded,5.5,Below Average,$105,,,,Compounded Semaglutide + B12; Compounded Tirzepatide,false,false,false,false,46,Free,true,true,Budget-conscious users looking for the lowest monthly GLP-1 cost,https://glp1watchdog.com/reviews/peter-md
42,Yucca Health,yucca-health,compounded,8.9,Excellent,$125,125,225,,Compounded Semaglutide+; Compounded Tirzepatide+,false,false,false,true,50,Free,true,false,Users who want a LegitScript-certified provider with verified patient reviews and flexible financing,https://glp1watchdog.com/reviews/yucca-health
43,MyStart Health,mystart-health,both,8.5,Excellent,$224,,,,Compounded Semaglutide; Compounded Tirzepatide; Ozempic; Wegovy,true,false,false,true,50,Free,true,true,Users who value a money-back weight-loss guarantee and price-lock protection,https://glp1watchdog.com/reviews/mystart-health
44,Telos Rx,telos-rx,compounded,8.2,Great,$99,99,139,,Compounded Tirzepatide; Compounded Semaglutide; Oral Tirzepatide,false,false,true,false,47,Included,true,true,Users specifically seeking tirzepatide — especially the oral format,https://glp1watchdog.com/reviews/telos-rx
45,Novi,novi,both,7.3,Good,$199,,,,Compounded Semaglutide; Brand-name GLP-1s,true,false,false,false,45,Included,true,true,"Users who want flexible, no-contract GLP-1 access with strong clinical support",https://glp1watchdog.com/reviews/novi
46,Zealthy,zealthy,both,7,Good,$151,,,,Compounded Semaglutide; Compounded Tirzepatide; Wegovy; Zepbound,true,false,false,true,50,$135/mo membership,true,true,Users who want the option to switch between compounded and brand-name GLP-1s,https://glp1watchdog.com/reviews/zealthy
47,Eden Health GLP-1,eden-health,both,6.5,Limited Availability,$129,,,,Semaglutide; Tirzepatide,true,false,false,true,50,Included,true,true,Currently unavailable to new patients — see TrimRx (9.3/10) for the closest match,https://glp1watchdog.com/reviews/eden-health
